image_id,center_card,active_player,player_1_cards,player_2_cards,player_3_cards,player_4_cards
L1000907,b_8,p2,y_0;draw_4,b_1;r_draw_2,y_draw_2,b_8;r_5;r_6;g_8
L1000908,y_7,p2,g_6;b_6,y_draw_2;g_5;g_7,wild,y_8;b_draw_2;r_4
L1000909,b_4,p1,r_4;y_3,EMPTY,g_8,g_4;g_skip;r_9
L1000910,b_5,p1,b_draw_2;r_1,b_5;b_skip,b_9;r_reverse,r_2;g_4;draw_4
L1000911,r_0,p2,y_6;g_5,b_reverse;r_8,EMPTY,EMPTY
L1000912,g_7,p4,draw_4,g_2,EMPTY,g_draw_2;r_3;y_2;wild
L1000913,b_2,p4,y_7,wild,r_3;b_2,b_skip;y_9;r_8
L1000914,y_4,p4,g_2;b_3,EMPTY,EMPTY,y_8;y_reverse;draw_4
L1000915,r_3,p2,g_6;y_7;wild,r_6;r_1,r_2;b_6;b_2,g_7
L1000916,y_6,p4,EMPTY,y_4;b_5,EMPTY,b_8;y_skip;r_5
L1000917,g_1,p3,g_5;r_8;b_9,EMPTY,g_7;draw_4,b_3
L1000918,g_8,p3,g_2;b_skip,EMPTY,r_8,EMPTY
L1000919,b_4,p4,EMPTY,b_draw_2;r_4,b_2,b_reverse;b_7;r_2;wild
L1000920,r_0,p1,r_5;y_reverse,b_0,y_3;g_reverse,r_6;r_7;y_4
L1000964,r_2,p3,EMPTY,EMPTY,g_2;y_5,g_8;b_2
L1000965,b_3,p4,EMPTY,r_3;wild,EMPTY,wild;b_3;b_skip
L1000966,r_1,p4,r_5;g_7,EMPTY,EMPTY,r_4;y_draw_2
L1000967,g_7,p1,g_3;g_skip,EMPTY,g_4;r_2;y_skip,EMPTY
L1000968,r_7,p1,wild,r_8;g_reverse,EMPTY,EMPTY
L1000969,b_6,p3,r_9,EMPTY,r_8;g_6;y_8,EMPTY
L1000970,r_5,p1,r_3;b_8,r_5;r_8,EMPTY,g_1;b_draw_2
L1000971,g_3,p1,y_7;g_8;g_5;r_0,r_2,y_skip;b_skip,EMPTY
L1000972,r_6,p3,y_4;b_4;r_4,EMPTY,r_2;draw_4,y_2;g_3
L1000973,b_2,p3,g_6;g_0;b_1,g_draw_2;b_skip;b_7,y_draw_2;b_1;g_2,EMPTY
L1000974,r_8,p4,wild;g_8,r_5;b_8,EMPTY,y_7;r_draw_2
L1000975,y_3,p3,g_4;g_reverse;g_draw_2,g_1;b_5,b_3;r_6;b_5,b_2;y_8
L1000976,r_8,p1,b_9;draw_4;draw_4,g_8,r_7;y_5,g_2;r_1
L1000977,y_2,p1,y_reverse;r_draw_2,g_4;g_3,wild;g_5,g_9
L1000978,y_8,p3,r_7;b_0;b_9,g_5;b_4,y_4;y_5,r_reverse;r_9
L1000979,r_0,p1,y_reverse;y_0,b_reverse;b_7,g_7;y_skip,g_5
L1000980,g_reverse,p3,g_3;wild,r_6,r_7;g_5,r_4;r_1
L1000981,b_5,p2,y_7;y_skip,g_7;b_4;r_9,b_5;g_1,b_draw_2
L1000982,y_4,p2,y_draw_2;b_8;g_6,y_3;b_3;r_3,g_8;b_2,b_skip;r_skip
L1000983,b_skip,p3,g_skip;b_6,r_skip;g_5,b_5;draw_4,r_4;r_5
